date,day,personnel,personnel*,POW
25-02-2022,2,2800,about,0
26-02-2022,3,4300,about,0
27-02-2022,4,4500,about,0
28-02-2022,5,5300,about,0
01-03-2022,6,5710,about,200
02-03-2022,7,5840,about,200
03-03-2022,8,9000,about,200
04-03-2022,9,9166,about,200
05-03-2022,10,10000,about,216
06-03-2022,11,11000,about,232
07-03-2022,12,11000,more,259
08-03-2022,13,12000,about,284
09-03-2022,14,12000,about,360
10-03-2022,15,12000,more,371
11-03-2022,16,12000,more,389
12-03-2022,17,12000,more,389
13-03-2022,18,12000,more,389
14-03-2022,19,12000,more,389
15-03-2022,20,13500,about,389
16-03-2022,21,13800,about,389
17-03-2022,22,14000,about,405
18-03-2022,23,14200,about,405
19-03-2022,24,14400,about,405
20-03-2022,25,14700,about,405
21-03-2022,26,15000,about,405
22-03-2022,27,15300,about,411
23-03-2022,28,15600,about,412
24-03-2022,29,15800,about,412
25-03-2022,30,16100,about,412
26-03-2022,31,16400,about,412
27-03-2022,32,16600,about,421
28-03-2022,33,17000,about,421
29-03-2022,34,17200,about,430
30-03-2022,35,17300,about,430
31-03-2022,36,17500,about,459
01-04-2022,37,17700,about,459
02-04-2022,38,17700,about,460
03-04-2022,39,18000,about,460
04-04-2022,40,18300,about,460
